연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
1572,3,327,신사,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1573,3,327,신사,스마트 정보 안내시스템,0,,2024-11-28
1574,3,327,신사,디지털보드,8,씨에스와이커뮤니케이션,2024-11-28
1575,3,327,신사,지하철 출입구 상단벽면,1,씨제이씨지브이,2024-11-28
1576,3,327,신사,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1577,3,327,신사,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1578,3,327,신사,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1579,3,327,신사,역구내행선안내게시기,0,,2024-11-28
1580,3,327,신사,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1581,3,328,잠원,역구내조명광고,1,브랜드발전소,2024-11-28
1582,3,328,잠원,역구내포스터,0,브랜드발전소,2024-11-28
1583,3,328,잠원,멀티비젼,0,나스미디어,2024-11-28
1584,3,328,잠원,디지털포스터,0,브랜드발전소,2024-11-28
1585,3,328,잠원,기둥조명,0,전홍,2024-11-28
1586,3,328,잠원,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1587,3,328,잠원,승강장매립형,0,,2024-11-28
1588,3,328,잠원,공간활용 프로모션,0,전홍,2024-11-28
1589,3,328,잠원,승강장음성광고,0,양진텔레콤,2024-11-28
1590,3,328,잠원,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1591,3,328,잠원,디지털종합안내도_인쇄식,10,싸인텔레콤,2024-11-28
1592,3,328,잠원,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1593,3,328,잠원,스마트 정보 안내시스템,0,,2024-11-28
1594,3,328,잠원,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1595,3,328,잠원,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1596,3,328,잠원,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1597,3,328,잠원,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1598,3,328,잠원,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1599,3,328,잠원,역구내행선안내게시기,0,,2024-11-28
1600,3,328,잠원,제2기 교통카드 RF단말기 광고,14,서울신교통카드,2024-11-28
1601,3,329,고속터미널(3),역구내조명광고,8,브랜드발전소,2024-11-28
1602,3,329,고속터미널(3),역구내포스터,0,브랜드발전소,2024-11-28
1603,3,329,고속터미널(3),멀티비젼,2,나스미디어,2024-11-28
1604,3,329,고속터미널(3),디지털포스터,27,브랜드발전소,2024-11-28
1605,3,329,고속터미널(3),기둥조명,8,전홍,2024-11-28
1606,3,329,고속터미널(3),승강장안전문 조명(민자제외),12,에스엘엠엔씨,2024-11-28
1607,3,329,고속터미널(3),승강장매립형,0,,2024-11-28
1608,3,329,고속터미널(3),공간활용 프로모션,1,전홍,2024-11-28
1609,3,329,고속터미널(3),승강장음성광고,0,양진텔레콤,2024-11-28
1610,3,329,고속터미널(3),디지털종합안내도_디지털,9,싸인텔레콤,2024-11-28
1611,3,329,고속터미널(3),디지털종합안내도_인쇄식,3,싸인텔레콤,2024-11-28
1612,3,329,고속터미널(3),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1613,3,329,고속터미널(3),스마트 정보 안내시스템,0,,2024-11-28
1614,3,329,고속터미널(3),디지털보드,11,씨에스와이커뮤니케이션,2024-11-28
1615,3,329,고속터미널(3),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1616,3,329,고속터미널(3),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1617,3,329,고속터미널(3),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1618,3,329,고속터미널(3),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1619,3,329,고속터미널(3),역구내행선안내게시기,0,,2024-11-28
1620,3,329,고속터미널(3),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1621,3,330,교대(3),역구내조명광고,21,브랜드발전소,2024-11-28
1622,3,330,교대(3),역구내포스터,6,브랜드발전소,2024-11-28
1623,3,330,교대(3),멀티비젼,5,나스미디어,2024-11-28
1624,3,330,교대(3),디지털포스터,10,브랜드발전소,2024-11-28
1625,3,330,교대(3),기둥조명,5,전홍,2024-11-28
1626,3,330,교대(3),승강장안전문 조명(민자제외),44,에스엘엠엔씨,2024-11-28
1627,3,330,교대(3),승강장매립형,0,,2024-11-28
1628,3,330,교대(3),공간활용 프로모션,0,전홍,2024-11-28
1629,3,330,교대(3),승강장음성광고,0,양진텔레콤,2024-11-28
1630,3,330,교대(3),디지털종합안내도_디지털,11,싸인텔레콤,2024-11-28
1631,3,330,교대(3),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1632,3,330,교대(3),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1633,3,330,교대(3),스마트 정보 안내시스템,0,,2024-11-28
1634,3,330,교대(3),디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1635,3,330,교대(3),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1636,3,330,교대(3),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1637,3,330,교대(3),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1638,3,330,교대(3),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1639,3,330,교대(3),역구내행선안내게시기,0,,2024-11-28
1640,3,330,교대(3),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1641,3,331,남부터미널,역구내조명광고,6,브랜드발전소,2024-11-28
1642,3,331,남부터미널,역구내포스터,0,브랜드발전소,2024-11-28
1643,3,331,남부터미널,멀티비젼,0,나스미디어,2024-11-28
1644,3,331,남부터미널,디지털포스터,20,브랜드발전소,2024-11-28
1645,3,331,남부터미널,기둥조명,3,전홍,2024-11-28
1646,3,331,남부터미널,승강장안전문 조명(민자제외),12,에스엘엠엔씨,2024-11-28
1647,3,331,남부터미널,승강장매립형,0,,2024-11-28
1648,3,331,남부터미널,공간활용 프로모션,0,전홍,2024-11-28
1649,3,331,남부터미널,승강장음성광고,0,양진텔레콤,2024-11-28
1650,3,331,남부터미널,디지털종합안내도_디지털,11,싸인텔레콤,2024-11-28
1651,3,331,남부터미널,디지털종합안내도_인쇄식,2,싸인텔레콤,2024-11-28
1652,3,331,남부터미널,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1653,3,331,남부터미널,스마트 정보 안내시스템,0,,2024-11-28
1654,3,331,남부터미널,디지털보드,4,씨에스와이커뮤니케이션,2024-11-28
1655,3,331,남부터미널,지하철 출입구 상단벽면,2,씨제이씨지브이,2024-11-28
1656,3,331,남부터미널,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1657,3,331,남부터미널,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1658,3,331,남부터미널,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1659,3,331,남부터미널,역구내행선안내게시기,0,,2024-11-28
1660,3,331,남부터미널,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1661,3,332,양재,역구내조명광고,8,브랜드발전소,2024-11-28
1662,3,332,양재,역구내포스터,0,브랜드발전소,2024-11-28
1663,3,332,양재,멀티비젼,1,나스미디어,2024-11-28
1664,3,332,양재,디지털포스터,23,브랜드발전소,2024-11-28
1665,3,332,양재,기둥조명,0,전홍,2024-11-28
1666,3,332,양재,승강장안전문 조명(민자제외),44,에스엘엠엔씨,2024-11-28
1667,3,332,양재,승강장매립형,0,,2024-11-28
1668,3,332,양재,공간활용 프로모션,0,전홍,2024-11-28
1669,3,332,양재,승강장음성광고,0,양진텔레콤,2024-11-28
1670,3,332,양재,디지털종합안내도_디지털,12,싸인텔레콤,2024-11-28
1671,3,332,양재,디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1672,3,332,양재,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1673,3,332,양재,스마트 정보 안내시스템,0,,2024-11-28
1674,3,332,양재,디지털보드,7,씨에스와이커뮤니케이션,2024-11-28
1675,3,332,양재,지하철 출입구 상단벽면,3,씨제이씨지브이,2024-11-28
1676,3,332,양재,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1677,3,332,양재,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1678,3,332,양재,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1679,3,332,양재,역구내행선안내게시기,0,,2024-11-28
1680,3,332,양재,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1681,3,333,매봉,역구내조명광고,0,브랜드발전소,2024-11-28
1682,3,333,매봉,역구내포스터,3,브랜드발전소,2024-11-28
1683,3,333,매봉,멀티비젼,0,나스미디어,2024-11-28
1684,3,333,매봉,디지털포스터,0,브랜드발전소,2024-11-28
1685,3,333,매봉,기둥조명,0,전홍,2024-11-28
1686,3,333,매봉,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1687,3,333,매봉,승강장매립형,0,,2024-11-28
1688,3,333,매봉,공간활용 프로모션,0,전홍,2024-11-28
1689,3,333,매봉,승강장음성광고,0,양진텔레콤,2024-11-28
1690,3,333,매봉,디지털종합안내도_디지털,6,싸인텔레콤,2024-11-28
1691,3,333,매봉,디지털종합안내도_인쇄식,2,싸인텔레콤,2024-11-28
1692,3,333,매봉,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1693,3,333,매봉,스마트 정보 안내시스템,0,,2024-11-28
1694,3,333,매봉,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1695,3,333,매봉,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1696,3,333,매봉,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1697,3,333,매봉,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1698,3,333,매봉,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1699,3,333,매봉,역구내행선안내게시기,0,,2024-11-28
1700,3,333,매봉,제2기 교통카드 RF단말기 광고,17,서울신교통카드,2024-11-28
1701,3,334,도곡,역구내조명광고,2,브랜드발전소,2024-11-28
1702,3,334,도곡,역구내포스터,1,브랜드발전소,2024-11-28
1703,3,334,도곡,멀티비젼,0,나스미디어,2024-11-28
1704,3,334,도곡,디지털포스터,0,브랜드발전소,2024-11-28
1705,3,334,도곡,기둥조명,0,전홍,2024-11-28
1706,3,334,도곡,승강장안전문 조명(민자제외),4,에스엘엠엔씨,2024-11-28
1707,3,334,도곡,승강장매립형,0,,2024-11-28
1708,3,334,도곡,공간활용 프로모션,0,전홍,2024-11-28
1709,3,334,도곡,승강장음성광고,0,양진텔레콤,2024-11-28
1710,3,334,도곡,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1711,3,334,도곡,디지털종합안내도_인쇄식,7,싸인텔레콤,2024-11-28
1712,3,334,도곡,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1713,3,334,도곡,스마트 정보 안내시스템,0,,2024-11-28
1714,3,334,도곡,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1715,3,334,도곡,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1716,3,334,도곡,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1717,3,334,도곡,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1718,3,334,도곡,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1719,3,334,도곡,역구내행선안내게시기,0,,2024-11-28
1720,3,334,도곡,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
1721,3,335,대치,역구내조명광고,4,브랜드발전소,2024-11-28
1722,3,335,대치,역구내포스터,3,브랜드발전소,2024-11-28
1723,3,335,대치,멀티비젼,0,나스미디어,2024-11-28
1724,3,335,대치,디지털포스터,0,브랜드발전소,2024-11-28
1725,3,335,대치,기둥조명,0,전홍,2024-11-28
1726,3,335,대치,승강장안전문 조명(민자제외),4,에스엘엠엔씨,2024-11-28
1727,3,335,대치,승강장매립형,0,,2024-11-28
1728,3,335,대치,공간활용 프로모션,0,전홍,2024-11-28
1729,3,335,대치,승강장음성광고,0,양진텔레콤,2024-11-28
1730,3,335,대치,디지털종합안내도_디지털,6,싸인텔레콤,2024-11-28
1731,3,335,대치,디지털종합안내도_인쇄식,6,싸인텔레콤,2024-11-28
1732,3,335,대치,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1733,3,335,대치,스마트 정보 안내시스템,0,,2024-11-28
1734,3,335,대치,디지털보드,2,씨에스와이커뮤니케이션,2024-11-28
1735,3,335,대치,지하철 출입구 상단벽면,1,씨제이씨지브이,2024-11-28
1736,3,335,대치,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1737,3,335,대치,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1738,3,335,대치,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1739,3,335,대치,역구내행선안내게시기,0,,2024-11-28
1740,3,335,대치,제2기 교통카드 RF단말기 광고,20,서울신교통카드,2024-11-28
1741,3,336,학여울,역구내조명광고,0,브랜드발전소,2024-11-28
1742,3,336,학여울,역구내포스터,0,브랜드발전소,2024-11-28
1743,3,336,학여울,멀티비젼,0,나스미디어,2024-11-28
1744,3,336,학여울,디지털포스터,0,브랜드발전소,2024-11-28
1745,3,336,학여울,기둥조명,0,전홍,2024-11-28
1746,3,336,학여울,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1747,3,336,학여울,승강장매립형,0,,2024-11-28
1748,3,336,학여울,공간활용 프로모션,0,전홍,2024-11-28
1749,3,336,학여울,승강장음성광고,0,양진텔레콤,2024-11-28
1750,3,336,학여울,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1751,3,336,학여울,디지털종합안내도_인쇄식,7,싸인텔레콤,2024-11-28
1752,3,336,학여울,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1753,3,336,학여울,스마트 정보 안내시스템,0,,2024-11-28
1754,3,336,학여울,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1755,3,336,학여울,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1756,3,336,학여울,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1757,3,336,학여울,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1758,3,336,학여울,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1759,3,336,학여울,역구내행선안내게시기,0,,2024-11-28
1760,3,336,학여울,제2기 교통카드 RF단말기 광고,15,서울신교통카드,2024-11-28
1761,3,337,대청,역구내조명광고,2,브랜드발전소,2024-11-28
1762,3,337,대청,역구내포스터,4,브랜드발전소,2024-11-28
1763,3,337,대청,멀티비젼,0,나스미디어,2024-11-28
1764,3,337,대청,디지털포스터,0,브랜드발전소,2024-11-28
1765,3,337,대청,기둥조명,0,전홍,2024-11-28
1766,3,337,대청,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1767,3,337,대청,승강장매립형,0,,2024-11-28
1768,3,337,대청,공간활용 프로모션,0,전홍,2024-11-28
1769,3,337,대청,승강장음성광고,0,양진텔레콤,2024-11-28
1770,3,337,대청,디지털종합안내도_디지털,9,싸인텔레콤,2024-11-28
1771,3,337,대청,디지털종합안내도_인쇄식,2,싸인텔레콤,2024-11-28
1772,3,337,대청,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1773,3,337,대청,스마트 정보 안내시스템,0,,2024-11-28
1774,3,337,대청,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1775,3,337,대청,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1776,3,337,대청,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1777,3,337,대청,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1778,3,337,대청,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1779,3,337,대청,역구내행선안내게시기,0,,2024-11-28
1780,3,337,대청,제2기 교통카드 RF단말기 광고,21,서울신교통카드,2024-11-28
1781,3,338,일원,역구내조명광고,1,브랜드발전소,2024-11-28
1782,3,338,일원,역구내포스터,1,브랜드발전소,2024-11-28
1783,3,338,일원,멀티비젼,0,나스미디어,2024-11-28
1784,3,338,일원,디지털포스터,0,브랜드발전소,2024-11-28
1785,3,338,일원,기둥조명,0,전홍,2024-11-28
1786,3,338,일원,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1787,3,338,일원,승강장매립형,0,,2024-11-28
1788,3,338,일원,공간활용 프로모션,0,전홍,2024-11-28
1789,3,338,일원,승강장음성광고,0,양진텔레콤,2024-11-28
1790,3,338,일원,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1791,3,338,일원,디지털종합안내도_인쇄식,10,싸인텔레콤,2024-11-28
1792,3,338,일원,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1793,3,338,일원,스마트 정보 안내시스템,0,,2024-11-28
1794,3,338,일원,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1795,3,338,일원,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1796,3,338,일원,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1797,3,338,일원,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1798,3,338,일원,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1799,3,338,일원,역구내행선안내게시기,0,,2024-11-28
1800,3,338,일원,제2기 교통카드 RF단말기 광고,21,서울신교통카드,2024-11-28
1801,3,339,수서(3),역구내조명광고,1,브랜드발전소,2024-11-28
1802,3,339,수서(3),역구내포스터,2,브랜드발전소,2024-11-28
1803,3,339,수서(3),멀티비젼,0,나스미디어,2024-11-28
1804,3,339,수서(3),디지털포스터,0,브랜드발전소,2024-11-28
1805,3,339,수서(3),기둥조명,0,전홍,2024-11-28
1806,3,339,수서(3),승강장안전문 조명(민자제외),3,에스엘엠엔씨,2024-11-28
1807,3,339,수서(3),승강장매립형,0,,2024-11-28
1808,3,339,수서(3),공간활용 프로모션,0,전홍,2024-11-28
1809,3,339,수서(3),승강장음성광고,0,양진텔레콤,2024-11-28
1810,3,339,수서(3),디지털종합안내도_디지털,12,싸인텔레콤,2024-11-28
1811,3,339,수서(3),디지털종합안내도_인쇄식,2,싸인텔레콤,2024-11-28
1812,3,339,수서(3),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1813,3,339,수서(3),스마트 정보 안내시스템,0,,2024-11-28
1814,3,339,수서(3),디지털보드,2,씨에스와이커뮤니케이션,2024-11-28
1815,3,339,수서(3),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1816,3,339,수서(3),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1817,3,339,수서(3),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1818,3,339,수서(3),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1819,3,339,수서(3),역구내행선안내게시기,0,,2024-11-28
1820,3,339,수서(3),제2기 교통카드 RF단말기 광고,17,서울신교통카드,2024-11-28
1821,3,340,가락시장(3),역구내조명광고,0,브랜드발전소,2024-11-28
1822,3,340,가락시장(3),역구내포스터,0,브랜드발전소,2024-11-28
1823,3,340,가락시장(3),멀티비젼,0,나스미디어,2024-11-28
1824,3,340,가락시장(3),디지털포스터,0,브랜드발전소,2024-11-28
1825,3,340,가락시장(3),기둥조명,0,전홍,2024-11-28
1826,3,340,가락시장(3),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1827,3,340,가락시장(3),승강장매립형,0,,2024-11-28
1828,3,340,가락시장(3),공간활용 프로모션,0,전홍,2024-11-28
1829,3,340,가락시장(3),승강장음성광고,0,양진텔레콤,2024-11-28
1830,3,340,가락시장(3),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1831,3,340,가락시장(3),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1832,3,340,가락시장(3),디지털종합안내도_조명,10,싸인텔레콤,2024-11-28
1833,3,340,가락시장(3),스마트 정보 안내시스템,0,,2024-11-28
1834,3,340,가락시장(3),디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1835,3,340,가락시장(3),지하철 출입구 상단벽면,1,씨제이씨지브이,2024-11-28
1836,3,340,가락시장(3),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1837,3,340,가락시장(3),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1838,3,340,가락시장(3),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1839,3,340,가락시장(3),역구내행선안내게시기,0,,2024-11-28
1840,3,340,가락시장(3),제2기 교통카드 RF단말기 광고,20,서울신교통카드,2024-11-28
1841,3,341,경찰병원,역구내조명광고,0,브랜드발전소,2024-11-28
1842,3,341,경찰병원,역구내포스터,0,브랜드발전소,2024-11-28
1843,3,341,경찰병원,멀티비젼,0,나스미디어,2024-11-28
1844,3,341,경찰병원,디지털포스터,0,브랜드발전소,2024-11-28
1845,3,341,경찰병원,기둥조명,0,전홍,2024-11-28
1846,3,341,경찰병원,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1847,3,341,경찰병원,승강장매립형,0,,2024-11-28
1848,3,341,경찰병원,공간활용 프로모션,0,전홍,2024-11-28
1849,3,341,경찰병원,승강장음성광고,0,양진텔레콤,2024-11-28
1850,3,341,경찰병원,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1851,3,341,경찰병원,디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1852,3,341,경찰병원,디지털종합안내도_조명,8,싸인텔레콤,2024-11-28
1853,3,341,경찰병원,스마트 정보 안내시스템,0,,2024-11-28
1854,3,341,경찰병원,디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
1855,3,341,경찰병원,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1856,3,341,경찰병원,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1857,3,341,경찰병원,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1858,3,341,경찰병원,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1859,3,341,경찰병원,역구내행선안내게시기,0,,2024-11-28
1860,3,341,경찰병원,제2기 교통카드 RF단말기 광고,18,서울신교통카드,2024-11-28
1861,3,342,오금(3),역구내조명광고,0,브랜드발전소,2024-11-28
1862,3,342,오금(3),역구내포스터,0,브랜드발전소,2024-11-28
1863,3,342,오금(3),멀티비젼,0,나스미디어,2024-11-28
1864,3,342,오금(3),디지털포스터,0,브랜드발전소,2024-11-28
1865,3,342,오금(3),기둥조명,0,전홍,2024-11-28
1866,3,342,오금(3),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1867,3,342,오금(3),승강장매립형,0,,2024-11-28
1868,3,342,오금(3),공간활용 프로모션,0,전홍,2024-11-28
1869,3,342,오금(3),승강장음성광고,0,양진텔레콤,2024-11-28
1870,3,342,오금(3),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
1871,3,342,오금(3),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1872,3,342,오금(3),디지털종합안내도_조명,10,싸인텔레콤,2024-11-28
1873,3,342,오금(3),스마트 정보 안내시스템,0,,2024-11-28
1874,3,342,오금(3),디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1875,3,342,오금(3),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1876,3,342,오금(3),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1877,3,342,오금(3),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1878,3,342,오금(3),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1879,3,342,오금(3),역구내행선안내게시기,0,,2024-11-28
1880,3,342,오금(3),제2기 교통카드 RF단말기 광고,14,서울신교통카드,2024-11-28
1881,4,409,당고개,역구내조명광고,0,브랜드발전소,2024-11-28
1882,4,409,당고개,역구내포스터,0,브랜드발전소,2024-11-28
1883,4,409,당고개,멀티비젼,0,나스미디어,2024-11-28
1884,4,409,당고개,디지털포스터,0,브랜드발전소,2024-11-28
1885,4,409,당고개,기둥조명,0,전홍,2024-11-28
1886,4,409,당고개,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1887,4,409,당고개,승강장매립형,0,,2024-11-28
1888,4,409,당고개,공간활용 프로모션,0,전홍,2024-11-28
1889,4,409,당고개,승강장음성광고,16,양진텔레콤,2024-11-28
1890,4,409,당고개,디지털종합안내도_디지털,4,싸인텔레콤,2024-11-28
1891,4,409,당고개,디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
1892,4,409,당고개,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1893,4,409,당고개,스마트 정보 안내시스템,0,,2024-11-28
1894,4,409,당고개,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1895,4,409,당고개,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1896,4,409,당고개,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1897,4,409,당고개,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1898,4,409,당고개,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1899,4,409,당고개,역구내행선안내게시기,0,,2024-11-28
1900,4,409,당고개,제2기 교통카드 RF단말기 광고,23,서울신교통카드,2024-11-28
1901,4,410,상계,역구내조명광고,0,브랜드발전소,2024-11-28
1902,4,410,상계,역구내포스터,7,브랜드발전소,2024-11-28
1903,4,410,상계,멀티비젼,0,나스미디어,2024-11-28
1904,4,410,상계,디지털포스터,0,브랜드발전소,2024-11-28
1905,4,410,상계,기둥조명,0,전홍,2024-11-28
1906,4,410,상계,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
1907,4,410,상계,승강장매립형,0,,2024-11-28
1908,4,410,상계,공간활용 프로모션,0,전홍,2024-11-28
1909,4,410,상계,승강장음성광고,0,양진텔레콤,2024-11-28
1910,4,410,상계,디지털종합안내도_디지털,6,싸인텔레콤,2024-11-28
1911,4,410,상계,디지털종합안내도_인쇄식,4,싸인텔레콤,2024-11-28
1912,4,410,상계,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
1913,4,410,상계,스마트 정보 안내시스템,0,,2024-11-28
1914,4,410,상계,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
1915,4,410,상계,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
1916,4,410,상계,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
1917,4,410,상계,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
1918,4,410,상계,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
1919,4,410,상계,역구내행선안내게시기,0,,2024-11-28
1920,4,410,상계,제2기 교통카드 RF단말기 광고,24,서울신교통카드,2024-11-28
1921,4,411,노원(4),역구내조명광고,2,브랜드발전소,2024-11-28
1922,4,411,노원(4),역구내포스터,9,브랜드발전소,2024-11-28
1923,4,411,노원(4),멀티비젼,0,나스미디어,2024-11-28
1924,4,411,노원(4),디지털포스터,0,브랜드발전소,2024-11-28
1925,4,411,노원(4),기둥조명,0,전홍,2024-11-28
1926,4,411,노원(4),승강장안전문 조명(민자제외),12,에스엘엠엔씨,2024-11-28
