연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
72,1,153,종로3가(1),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
73,1,153,종로3가(1),스마트 정보 안내시스템,0,,2024-11-28
74,1,153,종로3가(1),디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
75,1,153,종로3가(1),지하철 출입구 상단벽면,2,씨제이씨지브이,2024-11-28
76,1,153,종로3가(1),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
77,1,153,종로3가(1),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
78,1,153,종로3가(1),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
79,1,153,종로3가(1),역구내행선안내게시기,0,,2024-11-28
80,1,153,종로3가(1),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
81,1,154,종로5가,역구내조명광고,4,브랜드발전소,2024-11-28
82,1,154,종로5가,역구내포스터,21,브랜드발전소,2024-11-28
83,1,154,종로5가,멀티비젼,0,나스미디어,2024-11-28
84,1,154,종로5가,디지털포스터,0,브랜드발전소,2024-11-28
85,1,154,종로5가,기둥조명,0,전홍,2024-11-28
86,1,154,종로5가,승강장안전문 조명(민자제외),3,에스엘엠엔씨,2024-11-28
87,1,154,종로5가,승강장매립형,0,,2024-11-28
88,1,154,종로5가,공간활용 프로모션,0,전홍,2024-11-28
89,1,154,종로5가,승강장음성광고,0,양진텔레콤,2024-11-28
90,1,154,종로5가,디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
91,1,154,종로5가,디지털종합안내도_인쇄식,10,싸인텔레콤,2024-11-28
92,1,154,종로5가,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
93,1,154,종로5가,스마트 정보 안내시스템,0,,2024-11-28
94,1,154,종로5가,디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
95,1,154,종로5가,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
96,1,154,종로5가,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
97,1,154,종로5가,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
98,1,154,종로5가,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
99,1,154,종로5가,역구내행선안내게시기,0,,2024-11-28
